feature,mean_abs_shap
alpha_theta_ratio_AF4,0.0023835239109645822
alpha_theta_ratio_FC1,0.0023273637046645813
spectral_entropy_CCP3h,0.0023258240754239694
alpha_theta_ratio_FFC5h,0.0023130020600747483
alpha_theta_ratio_POO10h,0.002303412178846294
hjorth_complexity_FC1,0.002301642525574039
spectral_entropy_Cz,0.0022357532449242762
hjorth_mobility_F3,0.0022141965431129573
spectral_entropy_P4,0.0021940653159952636
alpha_theta_ratio_AFF1h,0.0021874603880405554
hjorth_mobility_FFC4h,0.0021784430239125746
hjorth_mobility_AF3,0.0021121322823894075
alpha_theta_ratio_AFF2h,0.002101971205522542
spectral_entropy_C1,0.002101943264802801
alpha_theta_ratio_PO4,0.0020691350842928346
alpha_theta_ratio_P3,0.002053165251953265
alpha_theta_ratio_Fz,0.0020283309008142392
hjorth_mobility_O9,0.0020027564025077633
spectral_entropy_TP9,0.0019905355779989034
alpha_theta_ratio_TP8,0.001982162891729291
hjorth_mobility_PPO2h,0.0019489758604936997
hjorth_mobility_P2,0.0018259754885993707
hjorth_mobility_PPO1h,0.0017924202629421503
hjorth_complexity_FFC2h,0.0017503747191300956
hjorth_complexity_CCP4h,0.0017263130174145541
spectral_entropy_FFC1h,0.0017194615935449953
alpha_theta_ratio_FCC1h,0.0016909969142788468
alpha_theta_ratio_FFC1h,0.0016595651888072478
hjorth_mobility_F8,0.0016552153444863015
hjorth_mobility_FFT9h,0.0015833128574639392
hjorth_mobility_PPO9h,0.0015715690904046817
alpha_theta_ratio_Fp2,0.0015681474923006815
alpha_theta_ratio_FC3,0.001554664596824973
hjorth_mobility_PO4,0.0015287097516242267
alpha_theta_ratio_C5,0.0015126398260332384
alpha_theta_ratio_TTP7h,0.0014614872353294
alpha_coherence_Fz_Pz,0.0014139189301111581
spectral_entropy_FTT9h,0.0014047586898176619
hjorth_complexity_AFF6h,0.00139493078396779
hjorth_mobility_FFC2h,0.0013848243417764268
alpha_theta_ratio_FTT7h,0.001370140796934611
alpha_theta_ratio_PPO9h,0.0013496827603441898
hjorth_complexity_F7,0.0013420798314164595
hjorth_mobility_O2,0.0013208442902937678
hjorth_mobility_P5,0.0013069822572850866
hjorth_complexity_TP10,0.0013068439653827783
spectral_entropy_CP2,0.0012928591190848966
alpha_theta_ratio_CCP2h,0.0012683354183657962
alpha_theta_ratio_CP2,0.0012346080344610333
hjorth_complexity_F9,0.001221752355664228
hjorth_mobility_P9,0.0012206138068370101
alpha_theta_ratio_AF3,0.0011763017836305808
spectral_entropy_F3,0.0011711147737743979
spectral_entropy_AF3,0.0011470288992014468
spectral_entropy_PPO1h,0.0011231022496211438
alpha_theta_ratio_AFz,0.0010765667181222662
spectral_entropy_FC2,0.0010306321847886853
spectral_entropy_C4,0.0010247468850454482
alpha_theta_ratio_FTT8h,0.0010148383230689352
alpha_theta_ratio_PO10,0.001006943363322354
hjorth_mobility_FTT9h,0.0009444423500524809
spectral_entropy_FCC1h,0.0009420103989523045
hjorth_mobility_FFT10h,0.0009126494392755304
hjorth_mobility_P3,0.0008938135222665403
spectral_entropy_PO3,0.0008605357466013205
alpha_theta_ratio_TPP9h,0.0008532483801568102
hjorth_complexity_O2,0.0008523481102967039
alpha_theta_ratio_CCP5h,0.0008467033622906931
spectral_entropy_FFC6h,0.0008428608420908276
hjorth_complexity_FCC2h,0.0007979560498422483
spectral_entropy_P7,0.00077261553440414
alpha_theta_ratio_Cz,0.0007648677298915323
hjorth_mobility_CPP3h,0.000714047166811401
hjorth_mobility_CP1,0.0006753529973952343
alpha_theta_ratio_Fp1,0.0006373986521767598
alpha_theta_ratio_AFp2,0.0006243660876509201
alpha_theta_ratio_FCC2h,0.0005626480030345726
hjorth_mobility_O1,0.0005426649161999458
spectral_entropy_POO2,0.0004798601855158806
hjorth_complexity_CPP4h,0.00047484152584973267
spectral_entropy_FFT10h,0.0004644368849400311
alpha_theta_ratio_T8,0.0004625718567555319
alpha_coherence_F3_F4,0.00043851813023809027
alpha_theta_ratio_FT7,0.00043069733555903185
spectral_entropy_TP7,0.0003803305246668697
hjorth_mobility_FFT7h,0.0003424977532827926
spectral_entropy_TPP9h,0.00033455142706913997
alpha_theta_ratio_AFp1,0.00031715390216089604
alpha_theta_ratio_CPz,0.0003031732598048279
hjorth_complexity_PPO10h,0.00028343854514444305
spectral_entropy_F6,0.0002622416382449701
spectral_entropy_FT9,0.00025357960245296206
spectral_entropy_FFC3h,0.0002429061722377174
hjorth_complexity_CP2,0.00020305670059165995
alpha_theta_ratio_FCC5h,0.00017167477482781408
hjorth_complexity_FCC1h,0.00014508281985591438
hjorth_complexity_FFT8h,0.00011336484997949013
alpha_theta_ratio_FCC3h,5.2974187904886364e-05
hjorth_complexity_FT8,2.5283776835047358e-05
